anime_id,title_english,type,episodes,rating,rank,popularity,members,source,duration,genre,studio,year
52991,Frieren: Beyond Journey's End,TV,28.0,9.3,1.0,142,1119371,Manga,24 min per ep,"Adventure, Drama, Fantasy",Madhouse,2023
5114,Fullmetal Alchemist: Brotherhood,TV,64.0,9.1,2.0,3,3522284,Manga,24 min per ep,"Action, Adventure, Drama, Fantasy",Bones,2009
9253,Steins;Gate,TV,24.0,9.07,3.0,14,2697581,Visual novel,24 min per ep,"Drama, Sci-Fi, Suspense",White Fox,2011
38524,Attack on Titan Season 3 Part 2,TV,10.0,9.05,4.0,21,2445236,Manga,23 min per ep,"Action, Drama, Suspense",Wit Studio,2019
28977,Gintama Season 4,TV,51.0,9.05,5.0,343,667240,Manga,24 min per ep,"Action, Comedy, Sci-Fi",Bandai Namco Pictures,2015
11061,Hunter x Hunter,TV,148.0,9.03,8.0,8,3022721,Manga,23 min per ep,"Action, Adventure, Fantasy",Madhouse,2011
9969,Gintama Season 2,TV,51.0,9.02,9.0,402,589724,Manga,24 min per ep,"Action, Comedy, Sci-Fi",Sunrise,2011
15417,Gintama: Enchousen,TV,13.0,9.02,10.0,751,345232,Manga,24 min per ep,"Action, Comedy, Sci-Fi",Sunrise,2012
820,Legend of the Galactic Heroes,OVA,110.0,9.01,11.0,754,344386,Novel,26 min per ep,"Drama, Sci-Fi","K-Factory, Kitty Film Mitaka Studio",1988
41467,Bleach: Thousand-Year Blood War,TV,13.0,9.0,12.0,365,636398,Manga,24 min per ep,"Action, Adventure, Supernatural",Pierrot,2022
34096,Gintama Season 5,TV,12.0,8.98,13.0,781,335136,Manga,24 min per ep,"Action, Comedy, Sci-Fi",Bandai Namco Pictures,2017
43608,Kaguya-sama: Love is War -Ultra Romantic-,TV,13.0,8.98,14.0,167,1030315,Manga,23 min per ep,"Comedy, Romance",A-1 Pictures,2022
42938,Fruits Basket: The Final Season,TV,13.0,8.95,15.0,456,527580,Manga,23 min per ep,"Drama, Romance, Supernatural",TMS Entertainment,2021
4181,Clannad: After Story,TV,24.0,8.93,16.0,120,1243752,Visual novel,24 min per ep,"Drama, Romance",Kyoto Animation,2008
918,Gintama,TV,201.0,8.93,17.0,146,1116099,Manga,24 min per ep,"Action, Comedy, Sci-Fi",Sunrise,2006
35180,March Comes In Like a Lion 2nd Season,TV,22.0,8.91,19.0,589,424009,Manga,25 min per ep,Drama,Shaft,2017
2904,Code Geass: Lelouch of the Rebellion R2,TV,25.0,8.91,20.0,47,1872600,Original,24 min per ep,"Action, Award Winning, Drama, Sci-Fi",Sunrise,2008
19,Monster,TV,74.0,8.89,22.0,122,1232466,Manga,24 min per ep,"Drama, Mystery, Suspense",Madhouse,2004
37491,Gintama. Silver Soul Arc - Second Half War,TV,14.0,8.88,23.0,1221,215605,Manga,24 min per ep,"Action, Comedy, Sci-Fi",Bandai Namco Pictures,2018
54492,The Apothecary Diaries,TV,24.0,8.87,24.0,366,634447,Light novel,22 min per ep,"Drama, Mystery","OLM, TOHO animation STUDIO",2023
51535,Attack on Titan: Final Season - The Final Chapters,TV Special,2.0,8.86,26.0,279,768919,Manga,1 hr 12 min per ep,"Action, Drama, Suspense",MAPPA,2023
35247,Owarimonogatari Second Season,TV Special,7.0,8.86,25.0,592,422029,Light novel,22 min per ep,"Comedy, Mystery, Supernatural",Shaft,2017
58514,The Apothecary Diaries Season 2,TV,24.0,8.85,28.0,893,295948,Light novel,24 min per ep,"Drama, Mystery","OLM, TOHO animation STUDIO",2025
40682,Kingdom: Season 3,TV,26.0,8.83,30.0,1983,120529,Manga,25 min per ep,Action,"Pierrot, Studio Signpost",2020
49387,Vinland Saga Season 2,TV,24.0,8.81,32.0,292,745966,Manga,25 min per ep,"Action, Adventure, Drama",MAPPA,2023
36838,Gintama. Silver Soul Arc,TV,12.0,8.81,33.0,1159,228376,Manga,24 min per ep,"Action, Comedy, Sci-Fi",Bandai Namco Pictures,2018
37510,Mob Psycho 100 II,TV,13.0,8.78,37.0,73,1640310,Web manga,24 min per ep,"Action, Comedy, Supernatural",Bones,2019
40028,Attack on Titan: Final Season,TV,16.0,8.78,35.0,31,2155390,Manga,23 min per ep,"Action, Drama, Suspense",MAPPA,2020
263,Fighting Spirit,TV,75.0,8.78,34.0,356,650030,Manga,23 min per ep,Sports,Madhouse,2000
32935,Haikyu!! 3rd Season,TV,10.0,8.77,38.0,116,1274382,Manga,24 min per ep,Sports,Production I.G,2016
17074,Monogatari Series: Second Season,TV,26.0,8.76,42.0,318,699028,Light novel,25 min per ep,"Comedy, Mystery, Romance, Supernatural",Shaft,2013
48583,Attack on Titan: Final Season Part 2,TV,12.0,8.76,41.0,97,1438584,Manga,23 min per ep,"Action, Drama, Suspense",MAPPA,2022
58567,Solo Leveling Season 2: Arise from the Shadow,TV,13.0,8.75,44.0,411,579733,Web manga,23 min per ep,"Action, Adventure, Fantasy",A-1 Pictures,2025
55690,The Dangers in My Heart Season 2,TV,13.0,8.75,46.0,1005,262957,Manga,23 min per ep,"Comedy, Romance",Shin-Ei Animation,2024
47917,Bocchi the Rock!,TV,12.0,8.75,45.0,319,695696,4-koma manga,23 min per ep,Comedy,CloverWorks,2022
51009,Jujutsu Kaisen Season 2,TV,23.0,8.75,43.0,129,1190751,Manga,23 min per ep,"Action, Supernatural",MAPPA,2023
1,Cowboy Bebop,TV,26.0,8.75,47.0,42,1969998,Original,24 min per ep,"Action, Award Winning, Sci-Fi",Sunrise,1998
2921,Tomorrow's Joe 2,TV,47.0,8.74,48.0,3033,61297,Manga,24 min per ep,"Drama, Sports",Tokyo Movie Shinsha,1980
50160,Kingdom: Season 4,TV,26.0,8.73,50.0,2619,78871,Manga,24 min per ep,Action,"Pierrot, Studio Signpost",2022
53223,Kingdom: Season 5,TV,13.0,8.72,55.0,3364,50547,Manga,24 min per ep,Action,"Pierrot, Studio Signpost",2024
39894,Sound! Euphonium 3,TV,13.0,8.72,58.0,2482,86389,Novel,24 min per ep,Drama,Kyoto Animation,2024
24701,Mushi-shi: Next Passage Part 2,TV,10.0,8.72,56.0,933,282197,Manga,23 min per ep,"Adventure, Mystery, Slice of Life, Supernatural",Artland,2014
44074,Link Click,ONA,11.0,8.72,53.0,570,434835,Original,23 min per ep,"Drama, Mystery, Suspense",LAN Studio,2021
48569,86 Eighty-Six Part 2,TV,12.0,8.72,57.0,412,579675,Light novel,23 min per ep,"Action, Drama, Sci-Fi",A-1 Pictures,2021
47778,Demon Slayer: Kimetsu no Yaiba Entertainment District Arc,TV,11.0,8.72,54.0,76,1599766,Manga,26 min per ep,"Action, Supernatural",ufotable,2021
